date,post_url,post_topic,content_type,pillar,impressions,reactions,comments,shares,total_engagements,engagement_rate,new_followers
7/30/26,https://www.linkedin.com/feed/update/urn:li:share:7488649037634510849,"Remember last week's discussion about Microsoft and their ""principled stand"" on",Original,AI/ML,0,1,0,0,0,0,0
7/30/26,https://www.linkedin.com/feed/update/urn:li:share:7488648954025377793,"Remember last week's discussion about Microsoft and their ""principled stand"" on",Original,Reflection,0,0,0,0,0,0,0
7/30/26,https://www.linkedin.com/feed/update/urn:li:share:7488391251663450112,From the McKinseys; article what resonated  with me is the paradigm shift in see,Original,Reflection,29,0,0,0,0,0,0
7/30/26,https://www.linkedin.com/feed/update/urn:li:share:7488391253668044800,From the McKinseys; article what resonated  with me is the paradigm shift in see,Original,Reflection,7,1,0,0,1,0.1429,0
7/30/26,https://www.linkedin.com/posts/s-thiru_remember-last-weeks-discussion-about-microsoft-share-7488648954025377793-hU7k,remember last weeks discussion about microsoft,,Innovation,50,,,,1,0.02,21
7/31/26,https://www.linkedin.com/feed/update/urn:li:share:7488988737549406208,"𝗔𝗿𝗲 𝘆𝗼𝘂 𝘁𝗶𝗿𝗲𝗱 𝗼𝗳 𝘆𝗼𝘂𝗿 𝗟𝗶𝗻𝗸𝗲𝗱𝗜𝗻 𝗺𝗲𝘁𝗿𝗶𝗰𝘀 𝗱𝗶𝘀𝗮𝗽𝗽𝗲𝗮𝗿𝗶𝗻𝗴 𝘁𝗵𝗲 𝗻𝗲𝘅𝘁 𝗱𝗮𝘆? 📉
s highlighte",Original,Product,33,1,1,0,2,0.0606,0
7/31/26,https://www.linkedin.com/posts/s-thiru_%F0%9D%97%94%F0%9D%97%BF%F0%9D%97%B2-%F0%9D%98%86%F0%9D%97%BC%F0%9D%98%82-%F0%9D%98%81%F0%9D%97%B6%F0%9D%97%BF%F0%9D%97%B2%F0%9D%97%B1-%F0%9D%97%BC%F0%9D%97%B3-%F0%9D%98%86%F0%9D%97%BC%F0%9D%98%82%F0%9D%97%BF-%F0%9D%97%9F-share-7488988737549406208-sQMh,Are you tired of your L,,Reflection,61,,,,2,0.0328,3
7/31/26,https://www.linkedin.com/posts/s-thiru_contentiq-strategy-enginepdf-ugcPost-7489048248893100032-Ti5t,contentiq strategy enginepdf,,Product,43,,,,1,0.0233,
7/31/26,https://www.linkedin.com/posts/s-thiru_artificialintelligence-productivity-futureofwork-share-7489012446087602176-ldj3,artificialintelligence productivity futureofwork,,AI/ML,41,,,,0,0,
7/7/25,https://www.linkedin.com/posts/s-thiru_careerdevelopment-criticalthinking-strategicthinking-share-7348142872098988032-Qi5C,Career Development: Critical Thinking & Strategic Thinking,Original,Reflection,60,,,,0,0,
7/8/25,https://www.linkedin.com/feed/update/urn:li:share:7348430439570694144,"🧠 Just wrapped up the “Product Management Intro” course by IBM on Coursera!

Whi",Original,Reflection,232,1,0,0,1,0.0043,0
7/8/25,https://www.linkedin.com/feed/update/urn:li:share:7348142872098988032,"As I’ve been applying to jobs, I keep seeing skills like Critical Thinking, Stra",Original,Reflection,618,9,1,0,10,0.0162,0
7/8/25,https://www.linkedin.com/posts/s-thiru_completion-certificate-for-product-management-share-7348430439570694144-NTWD,Completion Certificate for Product Management,Original,Reflection,27,,,,0,0,
7/9/26,https://www.linkedin.com/posts/s-thiru_productmanagement-platformthinking-techleadership-share-7481150756449067009-8WHT,Platform Thinking: I've Noticed a Pattern,Original,Platform Engg.,6,4,0,0,0,0,0
8/5/25,https://www.linkedin.com/posts/s-thiru_im-happy-to-share-that-ive-obtained-a-new-ugcPost-7358353969858891776-wECh,I'm Happy to Share That I've Obtained a New Certification,Original,Reflection,304,6,1,0,5,0.0164,1
8/6/25,https://www.linkedin.com/posts/s-thiru_im-happy-to-share-that-ive-obtained-a-new-ugcPost-7358989390422941698-hUQp,I'm Happy to Share That I've Obtained a New Certification,Original,Reflection,429,5,0,0,7,0.0163,1
9/8/25,https://www.linkedin.com/posts/s-thiru_im-attending-what-no-one-says-about-leadership-ugcPost-7370841334632423424-P4Ck,I'm Attending: What No One Says About Leadership,Original,Reflection,308,2,2,0,4,0.013,2
5/16/25,https://www.linkedin.com/feed/update/urn:li:share:7329108574821912576,"Hi everyone,
After an incredible journey working across product, engineering, an",Original,Reflection,1277,0,0,0,0,0,0
4/1/25,https://www.linkedin.com/feed/update/urn:li:share:7312978992523796480,This perspective has been a game-changer in my career. Focusing on what’s within,Original,Reflection,242,0,0,0,0,0,0
2/13/25,https://www.linkedin.com/feed/update/urn:li:ugcPost:7295874835858051072,I'm attending Ask Arianna Huffington your career questions. Join me on February,Original,Reflection,159,0,0,0,0,0,0
4/9/24,https://www.linkedin.com/feed/update/urn:li:share:7183466535154335746,I am proud to announce that I will graduate with an MBA from a top 5 business sc,Original,Reflection,2039,0,0,0,0,0,0
4/30/24,https://www.linkedin.com/feed/update/urn:li:share:7191077325097074688,YouTube Video showcasing the product.,Original,Product,303,0,0,0,0,0,0
4/30/24,https://www.linkedin.com/feed/update/urn:li:share:7191077010704683009,"If you are in the market for a BMW 5 series or 2024 Mini (all models), MB S-Clas",Original,Industrial,301,0,0,0,0,0,0
4/30/24,https://www.linkedin.com/feed/update/urn:li:share:7191079402825252866,"Healthcare organizations, esp. hospital management, need to adopt this mindset s",Original,Innovation,457,0,0,0,0,0,0
10/24/25,https://www.linkedin.com/feed/update/urn:li:share:7386909013470236672,🪑 Role Reveal – Part 3: Core Responsibility Spotlight: Portfolio Diversification,Original,Reflection,1083,8,1,0,9,0.0083,0
7/20/25,https://www.linkedin.com/feed/update/urn:li:share:7352704418871398400,"""Great talent can be built"" - Thanks! @Caitlin Weiser",Original,Reflection,163,0,0,0,0,0,0
10/22/25,https://www.linkedin.com/feed/update/urn:li:share:7386779528435773440,"🚨 Stealth Role Reveal 🚨

After months of operating in confidential mode, it’s ti",Original,Reflection,7129,14,4,0,18,0.0025,0
10/23/25,https://www.linkedin.com/feed/update/urn:li:share:7386883754679615489,"🪑 Role Reveal – Part 2: What Does a Chief unEmployed Officer Actually Do?

At Tr",Original,Reflection,1014,15,0,0,15,0.0148,0
4/1/25,https://www.linkedin.com/feed/update/urn:li:share:7312979481378369536,Love seeing this energy! Milestones like these don’t just showcase performance—t,Original,Reflection,167,0,0,0,0,0,0
4/17/25,https://www.linkedin.com/feed/update/urn:li:share:7318720603622936577,Incredible work—Shield.Ai is pushing the boundaries of what’s possible in contes,Original,Industrial,115,0,0,0,0,0,0
4/18/24,https://www.linkedin.com/feed/update/urn:li:ugcPost:7186822367438852096,Dr. Amy's interview highlights what sets up an individual's growth mindset and t,Original,Reflection,357,0,0,0,0,0,0
3/31/26,https://www.linkedin.com/feed/update/urn:li:share:7444838077958651904,I’m continuing my search for my next opportunity and am open across Product Mana,Original,Reflection,1391,12,3,0,15,0.0108,0
11/1/25,https://www.linkedin.com/feed/update/urn:li:share:7390434172122812416,When your ML model performs flawlessly in dev… and then production reminds you t,Original,AI/ML,976,8,0,0,8,0.0082,0
7/10/26,https://www.linkedin.com/feed/update/urn:li:share:7481381790818148352,"If you are trying to scale AI in the enterprise without a platform mindset, you",Original,Platform Engg.,408,1,0,0,1,0.0025,0
1/26/26,https://www.linkedin.com/feed/update/urn:li:share:7421670541536825344,"Straventis Advisory Group
Where strategy meets execution.
We turn ideas into mar",Original,Reflection,10,0,0,0,0,0,0
11/5/25,https://www.linkedin.com/feed/update/urn:li:share:7391928399016980480,"Connect with me now!!!
📍 Raleigh, NC | 🌐 https://www.stratovas.com/ 
🌐 https://w",Original,Reflection,4,0,0,0,0,0,0
1/26/26,https://www.linkedin.com/feed/update/urn:li:share:7421686586372739072,Stravantis Advisory helps small and mid-sized businesses turn ideas into market-,Original,Reflection,12,1,0,0,1,0.0833,0
1/27/26,https://www.linkedin.com/feed/update/urn:li:share:7422035809605713920,Schedule a free Advisory Session with Straventis Advisory Group to explore how w,Original,Reflection,13,0,0,1,1,0.0769,0
11/5/25,https://www.linkedin.com/feed/update/urn:li:share:7391927123298492416,"I’m thrilled to share that since 2023, Innovative Business Consulting LLC has be",Original,Reflection,4,0,0,0,0,0,0
1/31/26,https://www.linkedin.com/feed/update/urn:li:share:7423373242402246656,"A key milestone for our digital infrastructure at @Straventis Advisory Group
I a",Original,Reflection,29,1,0,0,1,0.0345,0
7/31/26,https://www.linkedin.com/feed/update/urn:li:share:7489068912236630016,"IT vs. OT: who owns transformation?
@Jeff Winter
That last line hits the nail on",Original,AI/ML,8,0,0,0,0,0,0
7/31/26,https://www.linkedin.com/feed/update/urn:li:ugcPost:7489088793225011200,"Software vs. The Shop Floor: Why AI is Exposing the IT/OT Divide
Conversation be",Original,Program Mgmt.,4,0,0,0,0,0,0
7/31/26,https://www.linkedin.com/feed/update/urn:li:share:7488988737549406208,"𝗔𝗿𝗲 𝘆𝗼𝘂 𝘁𝗶𝗿𝗲𝗱 𝗼𝗳 𝘆𝗼𝘂𝗿 𝗟𝗶𝗻𝗸𝗲𝗱𝗜𝗻 𝗺𝗲𝘁𝗿𝗶𝗰𝘀 𝗱𝗶𝘀𝗮𝗽𝗽𝗲𝗮𝗿𝗶𝗻𝗴 𝘁𝗵𝗲 𝗻𝗲𝘅𝘁 𝗱𝗮𝘆? 📉
s highlighte",Original,Product,62,1,1,0,2,0.0606,0
7/31/26,https://www.linkedin.com/feed/update/urn:li:share:7489012446087602176,"AI can help us create more work, faster.
@Nick Wojdyla
This is exactly what I’ve",Original,AI/ML,44,0,0,0,0,0,0
7/31/26,https://www.linkedin.com/feed/update/urn:li:ugcPost:7489048248893100032,"ContentIQ: You cannot systematically improve what you cannot see

If you treat c",Original,Product,57,0,1,0,1,0.0217,0
7/29/26,https://www.linkedin.com/feed/update/urn:li:ugcPost:7488033764628066304,The kitchen nobody owns!!,Original,Platform Engg.,118,2,0,0,2,0.0169,0
8/1/26,https://www.linkedin.com/feed/update/urn:li:ugcPost:7489212500513562624,"Demand of Edge AI in Safety Critical World
Building and scaling Edge AI in safet",Original,Industrial,1,0,0,0,0,0,0
8/1/26,https://www.linkedin.com/feed/update/urn:li:share:7489347666049650689,True digital sovereignty and optimization don't just come from intelligent platf,Original,Program Mgmt.,28,1,2,0,2,0.0714,0
8/2/26,https://www.linkedin.com/feed/update/urn:li:ugcPost:7489766913087184896,"𝐆𝐞𝐧𝐞𝐫𝐚𝐭𝐢𝐯𝐞 𝐀𝐈 𝐃𝐨𝐞𝐬𝐧'𝐭 𝐅𝐢𝐱 𝐘𝐨𝐮𝐫 𝐂𝐡𝐚𝐨𝐬. 𝐈𝐭 𝐀𝐦𝐩𝐥𝐢𝐟𝐢𝐞𝐬 𝐈𝐭.

GenAI doesn't fail loudl",Original,Platform Engg.,10,1,1,0,0,0,0
8/2/2026,https://www.linkedin.com/feed/update/urn:li:ugcPost:7489206633273929728,"The Balancing Act: Edge AI is a constraint Problem 
Deploying Artificial Intelli",Original,,23,0,0,0,0,0.0,0
8/3/2026,https://www.linkedin.com/feed/update/urn:li:share:7490005749302087680,The divergence between building cloud-based Generative AI systems and deploying,Original,,57,0,0,0,0,0.0,0
8/3/2026,https://www.linkedin.com/feed/update/urn:li:share:7490076565062545408,"Why AI bills scale faster than the value they deliver?

Most companies trying to",Original,,1,2,3,0,0,0.0,0
8/3/2026,https://www.linkedin.com/feed/update/urn:li:ugcPost:7489214074262683648,"Demand of Building a Edge AI for Safety Application

Building and scaling Edge A",Original,,68,1,0,0,1,0.0147,0
8/4/2026,https://www.linkedin.com/feed/update/urn:li:share:7490449139571507202,"Sat in on Henry Cipollo's (Pedestal AI) session on running voice agents at 10,00",Original,,0,0,1,0,0,0,0
8/4/2026,https://www.linkedin.com/feed/update/urn:li:ugcPost:7489356529217847296,"Brutal Trade-off's in Edge AI

Why edge AI is like cooking Michelin food from a",Original,,165,0,0,0,0,0.0,0
8/4/2026,https://www.linkedin.com/feed/update/urn:li:share:7490448751073996800,"Sat in on Henry Cipollo's (Pedestal AI) session on running voice agents at 10,00",Original,,2,0,0,0,0,0.0,0
8/5/2026,https://www.linkedin.com/feed/update/urn:li:share:7490868834875244545,"Datalake and the Messy House Share

Platform engineering is the ultimate test of",Original,,0,0,0,0,0,0,0
8/5/2026,https://www.linkedin.com/feed/update/urn:li:share:7490874308001505280,"Salesforce CPQ: Why Custom Software is Like a Bespoke Suit

Salesforce Quote-to-",Original,,0,0,0,0,0,0,0
8/5/2026,https://www.linkedin.com/feed/update/urn:li:share:7490859215608233985,"The biggest mistake I see in enterprise AI? Building out of sequence. 

It doesn",Original,,16,0,1,0,0,0.0,0
8/6/2026,https://www.linkedin.com/feed/update/urn:li:share:7491213096548511745,"Weaponized Memory: Why We Give Feedback Too Much Power

What Kat Sterner shared",Original,,2,0,1,0,1,0.5,0
8/6/2026,https://www.linkedin.com/feed/update/urn:li:ugcPost:7491184909319962624,"The AI Pricing Math Problem

Most no-code AI tools share the same 3 problems onc",Original,,35,2,1,0,3,0.0857,0
8/5/2026,https://www.linkedin.com/feed/update/urn:li:share:7490884341284192256,Enterprise memory isn't just data; it's the why behind decisions. Product manage,Original,,71,0,0,0,0,0.0,0
8/6/2026,https://www.linkedin.com/feed/update/urn:li:share:7491190108423995392,"The ""last-mile"" Trap in Enterprise AI

We need to talk about the ""last-mile"" tra",Original,,33,0,1,0,1,0.0303,0
